category,content
体育,"春兰杯决赛有奖竞猜启动 选择冠军赢取空调大奖
　　新浪体育讯　第8届春兰杯世界围棋锦标赛决赛将于6月27日至30日在重庆开战，中国棋手谢赫将与韩国李世石进行三番棋的争夺(27日，29日，30日对局)。欢迎广大网友参加有奖竞猜，选择您心目中的冠军棋手。春兰公司将从猜中冠军得主的网友中抽取2名获得大奖，每人获得一台春兰空调(型号为KFR-25GW/AZ3d-E1)。
　　请参加竞猜的网友填写下面的调查和个人资料，竞猜截止时间为6月27日上午9时整。"
体育,"深足名将家中传噩耗为父奔丧 祸不单行遭女友背叛
　　新浪体育讯　北京时间10月26日，深圳茅台红钻队洪都拉斯外援弗洛雷斯收到父亲去世的噩耗，今晚，这位球队的“开心果”带着悲伤的心情离开了深圳，他将前往洪都拉斯与父亲告别，同时，他不得不提前告别2011赛季。
　　今天是深圳红钻(微博)休息日，由于昨天的训练课上了大量，教练组决定给全队放假一天。上午，正在酒店休息的弗洛雷斯收到了父亲突然去世的消息，噩耗袭来，弗洛雷斯深受打击。当笔者打通他的电话时，弗洛雷斯的声音十分低沉：“是的，我爸爸走了，这事发生在昨晚或许是今天凌晨。我今天晚上就回洪都拉斯。”
　　随后，深圳红钻俱乐部工作人员第一时间帮助弗洛雷斯定了回国机票，今天中午，弗洛雷斯启程离开深圳，玻利维亚后卫里维罗帮助他拉着行李箱走出酒店大堂，里维罗与好友告别时眼眶已湿润，而正在酒店餐厅吃午饭的迪力木拉提(微博)、耶合亚和沙拉依丁三位新疆球员也将弗洛雷斯送到门口，当时，每个人的脸上都写满了悲伤。
　　俱乐部安排了一辆深港两地牌照的轿车，将弗洛雷斯直接送到香港机场。今晚，弗洛雷斯从香港启程，途径慕尼黑、法兰克弗、墨西哥返回洪都拉斯，等他回到家中时，将是明天晚上。说到归期时，弗洛雷斯告诉笔者：“由于路途遥远，我无法赶回深圳参加余下的比赛了，我们明年再见吧。”这也意谓着，弗洛雷斯将缺席剩下的两轮联赛，他已经提前告别本赛季。
　　弗洛雷斯是洪都拉斯上赛季联赛最佳射手，今年夏天，他在中超二次转会期间加盟深圳红钻，双方签定了为期一年半的租借合同。来到深圳之后，弗洛雷斯的表现没有征服主帅特鲁西埃，他的首发上场机会并不多，在红钻主场与天津泰达(微博)及客场与广州恒大(微博)的两场比赛中，弗洛雷斯打进两球。
　　球场下，弗洛雷斯因性格开朗、爱开玩笑、爱搞怪而被视为红钻“开心果”，队员们也喜欢拿他开心，他毫不介意。不过，在深圳红钻客战青岛中能(微博)时，笔者发现弗洛雷斯有些孤单落寞，当他独自一人坐在酒店门口的台阶上听音乐、发呆时，笔者上前和他聊了一会儿，原来，开心果失恋了，“我在中国，她在洪都拉斯，两人相隔这么远，分手并不意外，她和另一个男人好上了，把我甩了，这也没什么。我没有为此流眼泪，因为我是男人。”随后，乐天派的弗洛雷斯又眨了眨眼说：“要不你帮我介绍中国女孩子吧。”
　　如今，失恋的弗洛雷斯又遭遇丧父的巨大打击，为此，深圳红钻的队员们纷纷为他祈福，队长黄凤涛(微博)在微博上写着：“祈福，愿他一切平安顺利！”而主帅特鲁西埃亦悲伤地表示：“Rony失去了他的父亲，这是一个坏消息，我很难用语言来表达我的心情，此刻，我们愿意分担他的痛苦，愿他和家人早日走出悲伤的阴影！”(文莉)"
体育,"尼尔森锦标赛杆数罕有之高 夺冠成绩不及往年前20
　　新浪体育讯　北京时间5月31日，拜伦-尼尔森锦标赛的杆数出奇之高，最终两位打出低于标准杆3杆的选手要通过延长赛争胜负。要知道这样一个杆数，过去十年有九年都无法进入前20名。
　　拜伦-尼尔森锦标赛两轮结束之后，领先的杆数为低于标准杆8杆。可是另外36洞打完之后，胜杆就为低于标准杆3杆。
　　这是本赛季最高的胜杆数，它是四季TPC球场大风的副产品，周末的持续风力达到了35英里/消失。的确，把低于标准杆3杆放到过去10年去看，这个杆数根本算不上什么。现在就让我们看一看打出低于标准杆3杆，过去十年能获得什么名次。
　　(小风)"
体育,"刘玉明解亚泰选帅：谈判破裂为啥 欢迎福拉多回来
　　新浪体育讯　近来中超卫冕冠军长春亚泰队选帅一事引起诸多方面的关注，特别是一度传言前国家队执行主教练福拉多欲入主亚泰，那么福拉多为何来到长春之后没能与亚泰签约？亚泰俱乐部与福拉多接触的前后始末又是如何？接下来卫冕冠军的教鞭又将交给谁人？对于这些焦点话题，长春亚泰俱乐部董事长刘玉明独家接受了新浪体育专访。
　　关于选帅背景
　　新浪体育：在亚泰选帅过程中，有各种各样的传闻，其中就消息称早在高洪波下课前亚泰俱乐部就与福拉多达成共识，来亚泰队执教，真实情况是这样的吗？
　　刘玉明：这是一种不负责的、完全杜撰出来的消息。当时福拉多还在国家队任教，高指导也在带队打比赛，我和高指导在工作配合上比较愉快，所以也不可能和福拉多有什么接触。更关键的一点，我们当时根本没有换帅的想法。
　　新浪体育：现在能说一说当初选帅时的背景吗？这是你与福拉多的第一次见面吗？
　　刘玉明：高指导是在我们主场打上海申花队之前离开的。因为高指导的离开突然，我们没有准备，只能让李旭川先带队。但是高指导离开亚泰队之后，我们肯定要选择主帅，这种情况下先后有10名教头和我们取得联系，都想来亚泰执教，但是在第一批之中，确实没有福拉多的名字。而且我至今只见过福拉多一面。当初还是福拉多带国家队的时候，他来长春考察场地，那是唯一的一次见面。这次是第二次见面。说我们在高洪波下课之前就和福拉多取得联系完全是一种杜撰的、是极不负责任的说法。
　　关于福拉多执教目标
　　新浪体育：有报道称福拉多22日就入住基地与队员同吃同住，似乎已经正式入主亚泰，当时情况是否如此？
　　刘玉明：这个更是笑谈了。按时间来算，福拉多是18日通过经纪人和我取得的联系，表达了一种意向，就是想来我们长春亚泰执教，他肯定是想证明他的能力。当时我们的主帅还没有确定，所以谁来报名我们都欢迎。这样在21日晚上23点30分，福拉多到达长春，到我们俱乐部已经是凌晨了。当时有媒体说他22日就到基地与球员同吃住，完全就是笑谈。为什么这么讲，我们球队放假是放到22日晚上10点。18点之前没有球员归队，而且我们球队也没有开火做饭，他怎么和队员同吃同住呢？连我都是22日的下午才和福拉多见的面。他怎么可能和队员同吃同住呢。
　　新浪体育：福拉多是哪天与你开始面谈的，有消息21日就已完成签约，今天又突生变故？这中间有什么事情发生吗？
　　刘玉明：福拉多是22号凌晨才到长春的，我们是当天下午见面的，我们在一起谈了3个多小时。对合同的条款，和他的一些待遇我们进行了比较融洽的商谈，谈的过程中比较愉快，他表示等到他的助手日尔科23日到长春之后，再看看他有什么要求，所以当时表示23日我们再来签合同。
　　新浪体育：谈判之中亚泰对福拉多提出什么样的目标？
　　刘玉明：目标就是保四争三，我们不会因为换帅就发生变化，我们当时和福拉多谈的时候就明确表示今年的目标不会变，我们也希望他能够长期在亚泰执教。我们决不是找一个应急的教练来救火。我们这个俱乐部要打造百年俱乐部，所以我们不可能很频繁的更换教练，除非是教练的个人原因不胜任俱乐部工作，除此之外情况我们不会换教练的。当年殷铁生在我们这执教就是一个例子，他在我们这里工作了4年半的时间，他的离开是去国青执教。这回我们和福拉多谈的也是这样，希望福拉多能长期在亚泰执教，我甚至承诺，如果他对这份工作满意，对我们球队有信心，我们希望他在亚泰干到退休。当时他也表示满意和高兴。他说，他原来之所以没有在第一时间决定来亚泰，是因为他是经过详细了解才决定让经纪人联系的。另外他对我们球员也比较了解，因为我们有几名球员在国家队，他到我们的基地也来看过，对我们的基地管理、储备、还有我们球员能力也都很赞赏。我想福拉多在18日以后才与我们联系，是经过深思熟虑后才做出的决定。"
体育,"火箭一妖人命中率达62% 场均16+11人被他彻底打爆
　　新浪体育讯　北京时间11月12日，前一天刚刚被小牛大翻盘的火箭终于出了口恶气，他们在主场25分狂胜弱旅灰熊，将战绩提升为5胜3负，继续高居西部第六。而主力中锋海耶斯也一扫上场得到“鸭蛋”的低迷，4投3中得到6分，还有8个篮板和2记盖帽。
　　如今，谁在认为“海爷”是个毫无攻击力的纯蓝领球员，那可真把人看扁了。此役过后，海耶斯本赛季8场比赛总共43投26中，命中率高达61.9%。如果比较平均每场出手超过5次的球员命中率，排在他前面的只有小牛主力中锋埃里克-丹皮尔、76人替补中锋马里斯-斯贝茨、魔术主力中锋德怀特-霍华德和黄蜂主力控卫克里斯-保罗。前三个都是身高超过6尺10(2.08米)的长人，后一个则是超级巨星，只有海耶斯无论从身高还是名气，都平平无奇。
　　自从本赛季顶替姚明成为首发中锋，又当上了球队队长，海耶斯就知道了自己身负重任：“我知道自己必须要在场上打更长时间，那我就必须要多得分，这样才能为球队做更多的贡献。”据他介绍说，今年夏天休赛期，当得知姚明伤势加重，09-10赛季可能整个报销后，便开始了疯狂的进攻训练。“我必须能把球放进篮筐才行，”海耶斯如是说。
　　当然，指望“海爷”像斯科拉那样用脚步晃开对手，像兰德里那样暴扣，或者像大卫-安德森一样中远距离出手是不可能的。海耶斯的进攻只有一招：无球穿插跑动，趁对手不备的时候，利用时间差得分。“进攻时我必须得提速，如果我能比对手更快，那么一定会有瞬间，对手没有人防守我，这就是我得分的诀窍，”海耶斯说。
　　就是靠着这手看似不入流的本事，海耶斯新赛季场均得分已经超过了6分，再加上7个篮板的数据，和联盟大多数首发中锋的贡献相比毫不逊色。另外，他的防守方面丝毫没有放松。尽管上场打小牛被丹皮尔羞辱，但这场面对经验尚浅的灰熊内线小加索尔，海耶斯完全压制了对手。此前场均可以攻下16分11.4个篮板的西班牙人，本场比赛7投仅1中，得到3分，篮板也不过7个。比起对面这个身高不过1.98米的微型对手，小加索尔只能慨叹人不可貌相。比起海耶斯，他才刚上路呢。(蒙蒙)"
娱乐,"张伟健张茜夫妇甜蜜出行 路边摊开心买桔子(图)
　　新浪娱乐讯 日前，张卫健和张茜夫妇相伴出行，途中张茜体贴的下车为老公买桔子，非常窝心。
　　当晚，在北京望京附近某条路段旁的水果摊附近，艺人张茜正在认真挑选桔子。在挑好的橘子后，张茜递给了店主一张面值十元的人民币。等称完重量后，张茜拿起桔子就向外走，在听到店主拿着找零的零钱在其后面高喊时，张茜只是回头冲店主说了句话就回到了车里。看得出来心情很好。图库供稿"
娱乐,"宋祖德律师称录音证据经剪辑处理 法庭认定有效
　　新浪娱乐讯 “谢晋遗孀徐大雯告宋祖德名誉侵权案”于12月25日13时15分在静安区人民法院公开宣判。法院一审判被告需赔偿原告20万元精神损失费并公开道歉。在一审中，宋祖德律师否认齐鲁电视台记者周昕采访过宋祖德，并称采访录音是经过剪辑处理的。针对这一辩护，法院认定周昕采访过宋祖德，提供录音真实有效。宣判后，徐大雯当场表示：“非常感谢”。jzb/文"
娱乐,"偶像明星遇年龄尴尬 周渝民首次演爸爸
　　再偶像的明星也会碰到年龄的尴尬，再受青少年欢迎的艺人也要和粉丝们一起成长……继飞轮海成员吴尊在大银幕搏杀后，今年迈入而立之年的汪东城也开始了大银幕之路，并且起点就立志转型，变身成熟稳重的设计师。此外，今年同样开始“3字头”年龄的周渝民，也被爆将参演朱延平导演的新片《天生一对》，首次尝试父亲的角色，十足让人期待。信息时报记者 王晓静 　周渝民小小彬演绎父子情
　　去年的贺岁片《大笑江湖》票房不俗，口碑却出现两极，区域差异更是明显，但导演朱延平显然已经将心思放在了新片上。日前，他向记者透露了自己的新片计划——家庭喜悲剧《天生一对》将于5月开机。周渝民将首次扮演父亲的角色，和小小彬上演一段单亲家庭的父子情，而女主角将由Ella担纲，但两人的关系则是朋友。朱延平坦承这依然会是一部大制作，因为“只有大制作才是最安全的”。
　　从《流星花园》中走出的偶像派演员周渝民，如今要在大银幕上升级成为父亲，听起来似乎有点难想象。但是朱延平并不担心周渝民不够父亲气质，“我觉得特别有底，而且我对改造演员都特别有信心。”至于是否会因此让其告别偶像派标签，朱延平也笑着说，“等我改造了之后，就完全有可能啦，大家就会对他有不同的认识了！”
　　朱延平透露，周渝民在片中的年龄和现实生活中接近，“都是30多岁，所以年龄上应该没什么问题。其实在角色塑造上我也觉得他完全可以胜任，尽管他还没有结婚生孩子。”但有些不幸的是，他在片中的婚姻却遭遇了离婚的境地。据悉，周渝民的孩子将由台湾人气童星小小彬饰演，至于谁会演周渝民的太太，朱延平透露目前还没有确定，但估计也会是和他年龄差不多的女演员。已经确定的另外一位女主角Ella，则会饰演周渝民的朋友，但两人究竟会有什么“进展”，目前还无法透露更多。“其实就是一个家庭故事，定位为‘喜悲剧’，现在在准备中了，主要会在上海拍摄，也会去台湾的一些牧场。”但他否认故事背景是在上海，“拍摄地和故事发生在哪里没有太多关系，主要是讲家庭。”
　　汪东城上演大银幕惊魂
　　汪东城担纲男一号的惊悚悬疑电影《紫宅》昨日在苏州宣布开机。影片由香港顶尖摄影师潘恒生执导，汪东城、佟丽娅、唐文龙、佟晨洁等各地明星参演，还有金马影帝谢君豪友情出演。值得一提的是，本片是汪东城首度进军大银幕之作。身为台湾当红偶像团体飞轮海成员之一的他，在台湾偶像剧中一直都以阳光帅气的大男孩形象示人，此次他将出演颠覆之前作品中的形象，在《紫宅》中汪东城将饰演一位成熟稳重的设计师。从一个大男孩转变成一个男人，在演技上绝对是大考验，想必也会让其觉得压力不小。
　　此次片方除邀得曾为电影《阮玲玉》、《滚滚红尘》、《倩女幽魂》、《大话西游》等影片担任摄像的潘恒生作为本片导演外，还请来指导过《蝙蝠侠前传》、《特洛伊》等好莱坞大片后期视效的Johnny Guo担任特效指导。获得过香港金像奖最佳配乐、最佳主题曲奖的三木单丹担任本片的作曲与总制片人。
　　《紫宅》将融合了惊悚、爱情、悬疑等元素的惊悚题材，讲述从留居国外的富家女周彤带未婚夫李毅回国继承父亲的遗产开始，由此揭开了一段尘封记忆的故事。影片的制作周期约为半年，预计9月与观众见面。"
娱乐,"“明日之星”广州组淘汰4人 太谦让成失败原因
　　>“明日之星”广州组淘汰赛，选手们紧张地等待“裁决”
　　本报讯(记者 钱佳芸 实习生 王高财)第八届“明日之星”影视新星大赛广州影视基地小组进行了小组淘汰赛，由3位资深影视界人士组成的评委团根据选手们在拍摄期间面对困难时的表现、是否具有良好的屏幕形象以及和工作人员的沟通等方面进行12进8的艰难选择。最后，4名选手被淘汰出局。
　　当天下午，12名选手被分成6个小组进行PK。3名评委在点评时展现出“火辣”一面，当他们让选手评价一下自己的表现时，1号和2号选手互相谦让一味表扬对方的态度让评委们很恼火。最终，两位选手双双被淘汰。在点评时，评委们一致表示，只有对自己有信心，希望继续走下去的选手才能获得最基本的晋级资格。"
娱乐,"吴尊韩国宣传《公主小妹》 与粉丝亲密接触(图)
　　新浪娱乐讯 7月30日，飞轮海( 听歌 blog)成员吴尊( blog)为宣传电视剧《公主小妹()》访问韩国。此次见面会吸引近600名FANS参加，本来应与其一起访问韩国的另一成员辰亦儒因病未能出席。前一天还在日本赶戏的吴尊因身体不适服用药物而发生过敏，本以为不能参加韩国的见面会或者只能带着墨镜参加，幸好在活动当天因过敏肿起的眼睛已无大碍，可以最帅气的姿态站在韩国FANS的面前，吴尊当天和FANS一起度过两个小时的愉快时光。娃娃发自韩国站
　　声明：新浪网独家稿件，转载请注明出处。"
